Vrange,Number of Links,Observed VMT,Model VMT,Percent Diff
0,1513,4439424.923,5863604.452,0.320802706
10000,844,11874086.66,14714825.75,0.239238535
20000,359,6887834.034,8049715.848,0.168686093
30000,180,5412606.597,5982097.962,0.105215732
40000,148,5932822.896,5010077.385,-0.155532287
50000,167,6616769.796,5438454.029,-0.178080212
60000,222,8689205.379,6796054.62,-0.217873865
70000,184,8687256.699,6788314.796,-0.218589362
80000,126,7477686.832,5738213.174,-0.232621892
90000,74,4051464.902,3126239.632,-0.228368082
100000,133,3970878.805,3135085.202,-0.210480764
Total,3950,74040037.52,70642682.85,-0.045885372
