RDNM_TOLL_SEG_m,auto_vmt,length,truck_vmt,vmt,links
I-190,257149.8219217861,4.989999987185001,9897.25476167911,265229.47172745934,21
I-290,5775191.136410166,78.8200000282377,705992.0601751977,6354170.374510741,173
I-294_TOLLWAY North of I-290,2929714.5851762,42.830000042915344,291604.2860300152,3171156.627623737,48
I-294_TOLLWAY South of I-290 & I-80/294_TOLLWAY,3631055.795781058,51.33000026643276,436437.2354378586,3995433.498865516,67
I-355_TOLLWAY,2912826.474355807,66.44000028818846,247285.4556625653,3118366.7972747423,95
I-55 East of I-355,3166015.5132135823,49.09000018052757,384210.8576640921,3480984.8342756196,94
I-55 West of I-355,2758991.472527119,60.47999948263168,535535.7890590278,3201276.2717441455,67
I-57,2854564.657216626,61.06999974511564,285406.66128137015,3088676.1691437424,81
I-80 & I-80/I-94,3217603.327663173,73.04999922215939,828595.663878226,3906722.0844031475,89
I-88_TOLLWAY& I-88/294_TOLLWAY,4213896.463464416,76.7900002002716,288663.2324658732,4453629.550107624,77
I-90,2120800.10878525,26.169999822974205,65326.062385025514,2174221.1556952987,51
I-90/94,4321856.684834394,54.91000002063811,390788.70243297995,4641609.278353768,147
I-90_TOLLWAY East of IL-31,2717987.118495606,40.51999941468239,100567.48986671981,2800815.616218682,44
I-90_TOLLWAY West of IL-31,3178680.0642023715,49.37000000849366,99108.84369613395,3261320.4898603386,25
I-94,4742510.361215955,70.45999981090426,724220.6069214736,5336460.70426174,139
I-94_TOLLWAY,4970387.123140226,59.33000010624528,356257.54043157323,5266682.558863357,54
