County,FacilityType,modeled_suvmt,obs_suvmt,diff,obs_share,modeled_share,diff_share
Boone,Arterial/Collector,30031.160875307793,8553.99996638298,21477.160908924812,0.0022513607072238576,0.003216674205173302,0.0009653134979494445
Boone,Interstate,11361.524233996166,18860.000079870224,-7498.475845874058,0.004963837185518827,0.0012169466936922818,-0.0037468904918265458
Chicago,Arterial/Collector,545657.9025136236,363139.99848142266,182517.90403220092,0.0955762364993447,0.05844608229273295,-0.03713015420661175
Chicago,Interstate,654674.3345732011,244603.99971418083,410070.3348590203,0.06437828337041249,0.07012296506133744,0.005744681690924958
DeKalb,Arterial/Collector,75955.0962384602,23125.99998638034,52829.096252079864,0.0060866223859259135,0.008135642835658666,0.0020490204497327523
DeKalb,Interstate,11020.780137439711,17798.499954864383,-6777.719817424671,0.004684456815920592,0.0011804491786441894,-0.003504007637276403
DuPage,Arterial/Collector,521882.55620228726,211079.49934368953,310803.05685859773,0.05555483899818269,0.05589947600214432,0.00034463700396163144
DuPage,Interstate,658311.8145873916,250243.50116206333,408068.31342532823,0.06586256581347912,0.07051257997439597,0.004650014160916857
Grundy,Arterial/Collector,49188.6831400263,19391.999965161085,29796.68317486522,0.005103856316065761,0.005268659739792489,0.000164803423726728
Grundy,Interstate,69530.46658574375,78843.00054013729,-9312.53395439354,0.020750997679831795,0.007447492931381189,-0.013303504748450606
Kane,Arterial/Collector,283369.1140567648,101512.9995111376,181856.1145456272,0.02671760337502643,0.03035201081682676,0.0036344074418003317
Kane,Interstate,57481.915967074165,61500.99992789328,-4019.0839608191163,0.016186688711337906,0.006156958005151766,-0.010029730706186141
Kankakee,Arterial/Collector,18072.026963651086,5623.499928414822,12448.527035236264,0.001480070940573402,0.0019357168112994912,0.0004556458707260893
Kankakee,Interstate,11295.453057722292,7781.999945640564,3513.4531120817282,0.0020481750023482463,0.0012098697295579923,-0.000838305272790254
Kendall,Arterial/Collector,133091.31820430205,32205.499816685915,100885.81838761613,0.008476291457650161,0.014255573135445853,0.005779281677795692
Kendall,Interstate,10602.885131103263,10249.50014948845,353.384981614814,0.0026976060317896685,0.0011356879357160667,-0.0015619180960736018
Kenosha,Arterial/Collector,2415.191484568779,801.9999802112579,1613.191504357521,0.00021108151154288857,0.0002586941004786243,4.761258893573573e-05
Kenosha,Interstate,2937.062135417774,1548.0000257492065,1389.0621096685672,0.00040742418125434533,0.0003145923012838823,-9.283187997046301e-05
LaSalle,Arterial/Collector,171400.436732232,35071.499955654144,136328.93677657784,0.009230605243613332,0.01835890946344772,0.009128304219834389
LaSalle,Interstate,181427.92671673617,82262.99915015697,99164.9275665792,0.021651120490168242,0.019432966124451095,-0.0022181543657171475
Lake,Arterial/Collector,672088.3768840355,160415.00005945563,511673.3768245799,0.04222025127454877,0.07198820433535813,0.029767953060809357
Lake,Interstate,257899.6873528463,179162.00036183,78737.6869910163,0.04715434760666814,0.0276239495127961,-0.01953039809387204
"Lake, IN",Arterial/Collector,4541.411896752564,1094.0000265836716,3447.411870168892,0.00028793414580685313,0.0004864361575633366,0.00019850201175648346
"Lake, IN",Interstate,432.43200570981855,665.500020980835,-233.0680152710164,0.00017515555339970917,4.6318318630227474e-05,-0.0001288372347694817
Lee,Interstate,33958.21941534234,20895.000010728836,13063.219404613505,0.005499436776533979,0.003637306226705343,-0.0018621305498286362
McHenry,Arterial/Collector,361422.7999668378,107442.99961254,253979.8003542978,0.02827834329489997,0.038712436147306344,0.010434092852406374
McHenry,Interstate,8230.400103528771,11884.00014936924,-3653.6000458404687,0.0031277964795510356,0.0008815681758424643,-0.002246228303708571
Ogle,Arterial/Collector,16349.862121769223,2308.999991416931,14040.862130352292,0.0006077147386118613,0.0017512536382993243,0.001143538899687463
Ogle,Interstate,38719.761464120274,35976.00011229515,2743.7613518251237,0.009468664177485464,0.004147320792867033,-0.005321343384618431
Other,Arterial/Collector,1935.227083471992,417.00000166893005,1518.227081803062,0.00010975186139341158,0.00020728452910641327,9.753266771300168e-05
Other,Interstate,2556.055589844607,1347.5000262260437,1208.5555636185632,0.0003546538021920547,0.0002737822263008975,-8.087157589115724e-05
Suburban Cook,Arterial/Collector,2179968.16995623,637766.4974076673,1542201.6725485628,0.1678562588602099,0.2334990448591903,0.06564278599898038
Suburban Cook,Interstate,1184360.0275346406,551036.9998510927,633323.0276835479,0.145029583185262,0.1268582445423024,-0.018171338642959584
Walworth,Arterial/Collector,329.49686195672615,100.50000250339508,228.99685945333107,2.6450988730564228e-05,3.529281005627747e-05,8.84182132571324e-06
Will,Arterial/Collector,418303.69504567154,166586.99987921864,251716.6951664529,0.04384468404679752,0.04480501807335812,0.0009603340265606011
Will,Interstate,436740.91240716696,172101.49876624346,264639.4136409235,0.04529606657696686,0.04677985087280074,0.00148378429583388
Winnebago,Arterial/Collector,145922.07645377892,61877.99949608743,84044.07695769149,0.016285912702196956,0.015629891273371777,-0.0006560214288251799
Winnebago,Interstate,72624.04768578842,114202.00064256787,-41577.95295677945,0.030057271211534595,0.007778850169532689,-0.02227842104200191
Total,Total,9336090.309366543,3799479.994003661,5536610.315362882,1.0,1.0,0.0
