County,FacilityType,obs_truckvmt,modeled_truckvmt,diff,obs_share,modeled_share,diff_share
Boone,Arterial/Collector,24826.500061154366,89287.28386283352,64460.78380167915,0.0022703076767509765,0.004697999122109159,0.0024276914453581827
Boone,Interstate,65856.00026398897,41071.41573158582,-24784.584532403154,0.0060223302757600435,0.002161040931060159,-0.0038612893446998845
Chicago,Arterial/Collector,523433.9976798743,656455.2964558415,133021.2987759672,0.04786644191802428,0.034540488555920776,-0.013325953362103501
Chicago,Interstate,726884.9991066381,1246825.6997085207,519940.70060188253,0.06647141520238092,0.06560381041103694,-0.0008676047913439844
DeKalb,Arterial/Collector,53780.99997639656,206179.60213933105,152398.6021629345,0.004918108344268963,0.010848483097945293,0.00593037475367633
DeKalb,Interstate,92021.49944175035,111887.13707524916,19865.637633498816,0.00841508533599671,0.005887128032277747,-0.002527957303718964
DuPage,Arterial/Collector,361944.49905436486,621788.560557932,259844.06150356715,0.033098720026454795,0.03271644051941687,-0.0003822795070379248
DuPage,Interstate,864299.5033722371,1120699.2656623125,256399.76229007542,0.07903755232048638,0.05896745805727815,-0.020070094263208237
Grundy,Arterial/Collector,49872.000009566545,190437.10130071797,140565.10129115143,0.0045606422249507795,0.010020165201824449,0.005459522976873669
Grundy,Interstate,342686.50238215923,603168.1779500534,260481.67556789413,0.03133763499328237,0.031736698081741885,0.0003990630884595156
Kane,Arterial/Collector,196017.49899610877,420970.4253469122,224952.9263508034,0.017925202169141372,0.022150059931848286,0.0042248577627069135
Kane,Interstate,250122.00007028878,247008.83559733734,-3113.1644729514373,0.022872893701694062,0.012996781205397838,-0.009876112496296224
Kankakee,Arterial/Collector,11299.99983906746,26401.738966438046,15101.739127370587,0.0010333505052555036,0.0013891714600371189,0.0003558209547816153
Kankakee,Interstate,40614.99982923269,45591.73691089286,4976.737081660169,0.0037141178046205493,0.002398885157172583,-0.0013152326474479663
Kendall,Arterial/Collector,84940.49953445792,253927.10527466147,168986.60574020355,0.0077675495009414544,0.013360797484810191,0.0055932479838687365
Kendall,Interstate,36742.50053912401,64241.62733598447,27499.12679686046,0.0033599895608129263,0.0033801801977868004,2.0190636973874045e-05
Kenosha,Arterial/Collector,1319.4999754428864,4033.5240659820865,2714.0240905392,0.00012066424652454292,0.00021223058537765503,9.156633885311211e-05
Kenosha,Interstate,13760.000228881836,22111.925900414586,8351.92567153275,0.0012583100346313205,0.0011634558021484632,-9.48542324828573e-05
LaSalle,Arterial/Collector,74596.99983410537,323994.1520614186,249397.1522273132,0.006821668014773971,0.01704749182751925,0.01022582381274528
LaSalle,Interstate,541002.4941578507,1188905.5897687844,647903.0956109336,0.049473027313656874,0.06255624737767856,0.01308322006402169
Lake,Arterial/Collector,258765.0000507012,830130.9995352458,571365.9994845446,0.02366326967725864,0.04367872487916018,0.02001545520190154
Lake,Interstate,666824.0022189915,818239.2376071842,151415.2353881927,0.060979020302920406,0.04305302002308918,-0.017926000279831225
"Lake, IN",Arterial/Collector,2586.0000669956207,8851.00010467664,6265.0000376810185,0.00023648181538746108,0.0004657101092406254,0.0002292282938531643
"Lake, IN",Interstate,2783.000087738037,435.93122739778084,-2347.0688603402564,0.0002544968661723043,2.2937247444562925e-05,-0.00023155961872774137
Lee,Interstate,133280.00044226646,395124.33654241724,261844.33610015077,0.012188049359196774,0.020790124930353447,0.008602075571156673
McHenry,Arterial/Collector,208124.49927553535,554902.0074941451,346777.5082186097,0.019032350402243155,0.029197093150117166,0.01016474274787401
McHenry,Interstate,72178.00099551678,39766.70728590667,-32411.29370961011,0.0066004579521484925,0.002092391523583217,-0.004508066428565275
Ogle,Arterial/Collector,6659.00003015995,35910.7198312139,29251.71980105395,0.0006089452339523276,0.0018895023226434713,0.0012805570886911437
Ogle,Interstate,232388.50138038397,421932.01570807165,189543.51432768768,0.021251219357256795,0.022200655609946142,0.0009494362526893466
Other,Arterial/Collector,1819.0000116825104,12850.245649980687,11031.245638298176,0.00016634200069926813,0.0006761370731720281,0.00050979507247276
Other,Interstate,15680.000305175781,25980.72469250173,10300.72438732595,0.0014338881830547887,0.0013670190929387222,-6.686909011606652e-05
Suburban Cook,Arterial/Collector,1041580.9958569705,2547104.2271844866,1505523.231327516,0.09524940386389909,0.13402013036499483,0.03877072650109574
Suburban Cook,Interstate,2075890.501267556,2637877.2487508627,561986.7474833066,0.18983385211419238,0.1387963040504343,-0.05103754806375807
Walworth,Arterial/Collector,268.0000066757202,989.9677547368124,721.9677480610922,2.4507782854064917e-05,5.208880191511657e-05,2.7581019061051656e-05
Will,Arterial/Collector,331042.49996356666,721361.0710843091,390318.5711207425,0.030272826501794647,0.03795561396944323,0.0076827874676485865
Will,Interstate,896392.9938111454,1556374.8597912274,659981.865980082,0.08197240409329805,0.0818912549317178,-8.114916158025176e-05
Winnebago,Arterial/Collector,136941.99902676046,355899.7927121349,218957.79368537443,0.012522927955783027,0.01872626023980141,0.006203332284018382
Winnebago,Interstate,496075.0033456832,556668.0922343481,60593.088888664846,0.04536454536747955,0.029290018639616774,-0.01607452672786278
Total,Total,10935301.992496196,19005385.386864044,8070083.394367848,1.0,1.0,0.0
